GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202510122,2025-09-07T13:00:00,1,2025,1,ARI,NO,AWAY,20,13,33,Caesars Superdome,3,14,3,0,0,33,46,33:46,19,5,11,3,61,276,4.5,2,27,146,5.4,0,29,21,130,2,0,4.5,6.2,72.4,104.09,13,6,46.2,0,0,0.0,3,2,0,0,9,54,0,0,5,33,2,3,4,188,47.0,0,0,0,0,10,0,3,0,26,14,26:14,21,5,12,4,69,315,4.6,1,22,107,4.9,1,46,27,208,0,0,4.5,7.7,58.7,69.84,14,5,35.7,2,1,50.0,4,1,0,0,13,89,0,0,1,6,5,7,4,202,50.5,0,0,0,66.7,0,25.0,0,2,2,0,0,0,0,0,3,2,1,1,0,0,0,0,0,3,2,38,33,1,6,10,0,0,40,26,5,33,5,0,0,Sunday,993005125,1,22,19060
202510102,2025-09-07T13:00:00,1,2025,1,ATL,TB,HOME,20,23,43,Mercedes-Benz Stadium,7,3,3,7,0,35,12,35:12,23,4,16,3,71,358,5.0,2,28,69,2.5,1,42,27,289,1,0,6.9,10.7,64.3,92.26,15,6,40.0,4,3,75.0,2,1,0,0,8,55,1,0,1,9,3,2,3,140,46.7,0,0,0,0,10,7,6,0,24,48,24:48,16,5,10,1,56,260,4.6,3,23,101,4.4,0,32,17,159,3,0,5.0,9.4,53.1,98.31,14,7,50.0,1,1,100.0,1,1,0,0,5,60,0,0,1,8,5,7,4,205,51.2,0,0,0,50.0,0,100.0,0,2,2,0,0,0,0,0,3,2,3,2,0,0,0,0,0,2,1,26,27,1,8,7,0,0,43,27,1,9,7,0,0,Sunday,993005136,2,33,19055
202510104,2025-09-07T20:20:00,1,2025,1,BAL,BUF,AWAY,40,41,81,Highmark Stadium,3,17,14,6,0,25,11,25:11,19,10,8,1,50,432,8.6,5,29,238,8.2,3,19,14,194,2,0,10.2,13.9,73.7,141.12,11,6,54.5,0,0,0.0,3,1,0,0,7,51,2,1,2,15,3,3,3,152,50.7,1,0,-1,7,6,6,22,0,34,49,34:49,29,9,18,2,78,497,6.4,5,31,108,3.5,3,46,33,389,2,0,8.5,11.8,71.7,111.59,15,7,46.7,1,1,100.0,7,5,0,0,5,38,1,0,1,5,4,5,4,158,39.5,0,1,1,33.3,0,71.4,0,5,4,0,0,0,0,0,2,2,2,2,0,6,0,0,0,3,3,47,22,1,5,4,1,0,38,6,2,15,1,2,1,Sunday,993005145,3,4,19067
202510104,2025-09-07T20:20:00,1,2025,1,BUF,BAL,HOME,41,40,81,Highmark Stadium,7,6,6,22,0,34,49,34:49,29,9,18,2,78,497,6.4,5,31,108,3.5,3,46,33,389,2,0,8.5,11.8,71.7,111.59,15,7,46.7,1,1,100.0,7,5,0,0,5,38,1,0,1,5,4,5,4,158,39.5,0,1,1,3,17,14,6,0,25,11,25:11,19,10,8,1,50,432,8.6,5,29,238,8.2,3,19,14,194,2,0,10.2,13.9,73.7,141.12,11,6,54.5,0,0,0.0,3,1,0,0,7,51,2,1,2,15,3,3,3,152,50.7,1,0,-1,71.4,0,33.3,0,2,2,0,6,0,0,0,3,3,5,4,0,0,0,0,0,2,2,38,6,2,15,1,2,1,47,22,1,5,4,1,0,Sunday,993005146,4,3,19067
202510115,2025-09-07T13:00:00,1,2025,1,CAR,JAX,AWAY,10,26,36,EverBank Stadium,3,0,0,7,0,29,0,29:00,15,5,8,2,61,255,4.2,1,25,113,4.5,0,35,18,142,1,2,4.1,7.9,51.4,47.56,15,8,53.3,2,0,0.0,1,0,0,0,4,35,1,1,1,12,1,1,2,86,43.0,3,1,-2,3,17,0,6,0,31,0,31:00,19,10,9,0,63,378,6.0,2,32,200,6.2,1,31,19,178,1,1,5.7,9.4,61.3,74.4,12,5,41.7,2,2,100.0,5,2,0,0,11,93,0,0,0,0,5,2,2,111,55.5,1,3,2,0.0,0,40.0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,4,4,41,19,0,0,4,0,0,27,30,1,12,9,1,1,Sunday,993005129,5,15,19058
202510106,2025-09-08T20:15:00,1,2025,1,CHI,MIN,HOME,24,27,51,Soldier Field,7,3,7,7,0,32,53,32:53,20,7,10,3,63,317,5.0,3,26,119,4.6,1,35,21,198,1,0,5.7,9.4,60.0,85.18,12,3,25.0,1,0,0.0,2,2,0,0,12,127,1,1,2,12,5,6,6,266,44.3,1,1,0,0,6,0,21,0,27,7,27:07,14,6,5,3,49,254,5.2,3,26,120,4.6,1,20,13,134,2,1,6.7,10.3,65.0,96.67,12,3,25.0,0,0,0.0,3,2,0,0,8,50,0,0,3,9,3,6,7,333,47.6,1,1,0,100.0,0,66.7,0,3,3,0,0,0,0,0,2,1,1,1,0,4,1,0,0,2,2,33,14,3,9,5,0,0,38,21,2,12,3,1,1,Monday,993005148,6,20,19068
202510108,2025-09-07T13:00:00,1,2025,1,CIN,CLE,AWAY,17,16,33,Huntington Bank Field,7,7,3,0,0,24,11,24:11,11,3,7,1,49,141,2.9,2,23,46,2.0,1,23,14,95,1,0,4.1,6.8,60.9,84.51,14,7,50.0,0,0,0.0,3,2,0,0,7,33,0,0,3,18,5,4,6,316,52.7,0,2,2,0,10,6,0,0,35,49,35:49,22,5,13,4,71,327,4.6,2,24,49,2.0,1,45,31,278,1,2,6.2,9.0,68.9,74.12,16,9,56.2,3,2,66.7,3,2,0,0,7,53,0,0,2,12,7,8,2,97,48.5,2,0,-2,66.7,0,66.7,0,2,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,1,40,40,2,12,6,0,0,31,22,3,18,5,0,0,Sunday,993005121,7,8,19056
202510108,2025-09-07T13:00:00,1,2025,1,CLE,CIN,HOME,16,17,33,Huntington Bank Field,0,10,6,0,0,35,49,35:49,22,5,13,4,71,327,4.6,2,24,49,2.0,1,45,31,278,1,2,6.2,9.0,68.9,74.12,16,9,56.2,3,2,66.7,3,2,0,0,7,53,0,0,2,12,7,8,2,97,48.5,2,0,-2,7,7,3,0,0,24,11,24:11,11,3,7,1,49,141,2.9,2,23,46,2.0,1,23,14,95,1,0,4.1,6.8,60.9,84.51,14,7,50.0,0,0,0.0,3,2,0,0,7,33,0,0,3,18,5,4,6,316,52.7,0,2,2,66.7,0,66.7,0,2,1,0,0,0,0,0,2,1,2,2,0,0,0,0,0,1,1,31,22,3,18,5,0,0,40,40,2,12,6,0,0,Sunday,993005122,8,7,19056
202510126,2025-09-04T20:20:00,1,2025,1,DAL,PHI,AWAY,20,24,44,Lincoln Financial Field,7,13,0,0,0,25,8,25:08,22,7,9,6,56,307,5.5,2,22,119,5.4,2,34,21,188,0,0,5.5,9.0,61.8,76.59,11,7,63.6,1,0,0.0,3,2,0,0,4,42,1,1,0,0,5,5,2,87,43.5,1,0,-1,7,14,3,0,0,34,52,34:52,20,14,6,0,62,302,4.9,3,38,158,4.2,3,23,19,144,0,0,6.3,7.6,82.6,92.75,13,8,61.5,0,0,0.0,3,3,0,0,9,110,0,0,1,8,1,3,3,146,48.7,0,1,1,66.7,0,100.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,1,36,33,1,8,0,0,0,34,23,0,0,6,1,1,Thursday,993005117,9,26,19039
202510110,2025-09-07T16:05:00,1,2025,1,DEN,TEN,HOME,20,12,32,Empower Field at Mile High,3,7,3,7,0,31,56,31:56,20,5,9,6,71,317,4.5,2,30,151,5.0,1,40,25,166,1,2,4.2,6.6,62.5,58.96,15,6,40.0,2,0,0.0,3,1,0,0,6,45,2,2,1,10,14,7,3,144,48.0,4,2,-2,3,6,3,0,0,28,4,28:04,7,2,5,0,55,133,2.4,0,21,71,3.4,0,28,12,62,0,0,2.2,5.2,42.9,50.3,14,2,14.3,1,0,0.0,2,0,0,0,13,131,2,2,6,50,5,4,8,395,49.4,2,4,2,33.3,0,0.0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,32,26,6,50,4,2,2,42,28,1,10,5,1,2,Sunday,993005140,10,34,19063
