GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202410133,2024-09-08T16:25:00,1,2024,1,WAS,TB,AWAY,20,37,57,Raymond James Stadium,0,7,7,6,0,26,19,26:19,22,12,7,3,56,299,5.3,3,30,138,4.6,3,24,17,161,0,0,6.7,9.5,70.8,89.06,8,2,25.0,1,1,100.0,3,3,0,0,7,51,3,0,2,23,4,8,3,139,46.3,0,0,0,6,10,7,14,0,33,41,33:41,22,4,15,3,61,392,6.4,4,30,112,3.7,0,30,24,280,4,0,9.3,11.7,80.0,145.14,13,9,69.2,0,0,0.0,5,3,0,0,7,46,0,0,1,9,2,3,1,38,38.0,0,0,0,100.0,0,60.0,0,2,2,0,2,0,0,0,2,0,4,4,0,0,0,0,0,3,3,40,20,1,9,2,0,0,32,24,2,23,2,2,0,Sunday,993004471,35,33,18672
202410235,2024-09-15T13:00:00,1,2024,2,WAS,NYG,HOME,21,18,39,Northwest Stadium,3,6,6,6,0,37,32,37:32,22,9,11,2,69,425,6.2,0,35,215,6.1,0,29,23,210,0,0,7.2,9.1,79.3,96.84,14,7,50.0,1,1,100.0,6,0,0,0,10,69,0,0,5,16,4,2,0,0,0.0,0,1,1,6,6,0,6,0,22,28,22:28,18,5,11,2,51,304,6.0,3,22,129,5.9,1,28,16,175,2,0,6.2,10.9,57.1,99.55,8,4,50.0,2,1,50.0,3,3,0,0,5,20,1,1,1,3,7,10,2,87,43.5,1,0,-1,0.0,0,100.0,0,0,0,0,0,0,0,0,7,7,1,0,0,4,0,0,0,0,0,29,21,1,3,4,1,1,53,27,5,16,3,0,0,Sunday,993004494,35,23,18699
202410307,2024-09-23T20:15:00,1,2024,3,WAS,CIN,AWAY,38,33,71,Paycor Stadium,7,14,7,10,0,33,6,33:06,22,8,13,1,57,356,6.2,5,32,108,3.4,3,23,21,248,2,0,10.8,11.8,91.3,140.58,9,5,55.6,3,3,100.0,3,3,0,0,3,28,1,0,2,6,5,3,0,0,0.0,0,0,0,7,6,7,13,0,26,54,26:54,30,11,18,1,60,436,7.3,4,20,124,6.2,1,38,29,312,3,0,8.2,10.8,76.3,126.21,10,6,60.0,1,1,100.0,4,2,0,0,5,16,0,0,2,12,4,1,0,0,0.0,0,0,0,100.0,0,50.0,0,5,5,0,0,0,0,0,1,1,3,3,0,2,0,0,0,3,2,39,22,2,12,3,0,0,37,25,2,6,0,1,0,Monday,993004541,35,7,18701
202410401,2024-09-29T16:05:00,1,2024,4,WAS,ARI,AWAY,42,14,56,State Farm Stadium,7,10,10,15,0,33,22,33:22,29,13,14,2,67,449,6.7,5,37,216,5.8,4,30,26,233,1,1,7.8,9.0,86.7,96.25,12,9,75.0,1,1,100.0,5,4,0,0,5,49,0,0,0,0,7,3,1,51,51.0,1,1,0,7,0,7,0,0,26,38,26:38,17,12,5,0,58,296,5.1,2,32,181,5.7,1,22,16,115,1,0,5.2,7.2,72.7,99.62,11,4,36.4,3,2,66.7,2,2,0,0,4,82,3,1,4,27,1,1,4,192,48.0,1,1,0,80.0,0,100.0,0,4,4,0,2,1,0,0,2,2,2,2,0,0,0,0,0,0,0,41,24,4,27,1,3,1,45,27,0,0,2,0,0,Sunday,993004563,35,1,18722
202410535,2024-10-06T13:00:00,1,2024,5,WAS,CLE,HOME,34,13,47,Northwest Stadium,7,17,10,0,0,31,18,31:18,19,10,8,1,65,434,6.7,4,34,215,6.3,3,28,15,219,1,1,7.8,14.6,53.6,76.34,17,8,47.1,2,2,100.0,6,3,0,0,5,31,2,1,3,17,11,7,4,192,48.0,2,1,-1,0,3,3,7,0,28,42,28:42,12,4,7,1,59,212,3.6,1,23,104,4.5,0,29,16,108,1,0,3.7,6.8,55.2,75.07,13,1,7.7,3,2,66.7,2,1,0,0,9,52,1,1,7,33,4,9,7,361,51.6,1,2,1,50.0,0,50.0,0,4,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,2,43,25,7,33,6,1,1,44,16,3,17,7,2,1,Sunday,993004586,35,8,18744
202410603,2024-10-13T13:00:00,1,2024,6,WAS,BAL,AWAY,23,30,53,M&T Bank Stadium,3,7,3,10,0,23,52,23:52,18,1,16,1,56,305,5.4,2,18,52,2.9,0,35,24,253,2,0,7.2,10.5,68.6,108.39,12,4,33.3,1,1,100.0,3,2,0,0,6,46,0,0,3,16,4,5,3,127,42.3,0,1,1,3,14,10,3,0,36,8,36:08,28,9,16,3,65,484,7.4,3,37,176,4.8,2,26,20,308,1,1,11.8,15.4,76.9,112.34,10,6,60.0,0,0,0.0,4,3,0,0,3,33,1,0,2,15,8,4,1,50,50.0,1,0,-1,66.7,0,75.0,0,2,2,0,0,0,0,0,4,3,3,3,0,0,0,0,0,3,3,42,27,2,15,3,0,0,38,15,3,16,5,0,0,Sunday,993004607,35,3,18753
202410735,2024-10-20T16:05:00,1,2024,7,WAS,CAR,HOME,40,7,47,Northwest Stadium,10,17,10,3,0,35,5,35:05,26,10,12,4,63,421,6.7,4,37,214,5.8,1,25,20,207,2,0,8.3,10.4,80.0,127.83,10,5,50.0,0,0,0.0,6,3,0,0,8,55,1,0,1,4,2,5,1,40,40.0,0,2,2,0,0,0,7,0,24,55,24:55,10,5,5,0,43,180,4.2,1,23,95,4.1,1,18,13,85,0,2,4.7,6.5,72.2,42.36,10,3,30.0,1,0,0.0,1,1,0,0,6,59,1,0,2,4,2,3,5,252,50.4,2,0,-2,50.0,0,100.0,0,4,4,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,32,16,2,4,3,1,0,41,33,1,4,1,0,0,Sunday,993004650,35,5,18766
202410835,2024-10-27T16:25:00,1,2024,8,WAS,CHI,HOME,18,15,33,Northwest Stadium,6,3,3,6,0,32,16,32:16,23,6,15,2,72,481,6.7,1,32,168,5.2,0,38,21,313,1,0,8.2,14.9,55.3,91.23,15,5,33.3,0,0,0.0,3,0,0,0,5,30,1,0,2,13,8,5,5,214,42.8,0,1,1,0,0,7,8,0,27,44,27:44,15,8,6,1,60,307,5.1,2,33,202,6.1,2,24,10,105,0,0,4.4,10.5,41.7,55.03,12,2,16.7,1,0,0.0,2,1,0,0,8,60,1,1,3,26,7,6,7,341,48.7,1,0,-1,0.0,0,50.0,0,0,0,0,0,0,0,0,5,4,1,1,0,2,1,0,0,0,0,38,16,3,26,1,0,1,45,28,2,13,2,1,0,Sunday,993004684,35,6,18790
202410923,2024-11-03T13:00:00,1,2024,9,WAS,NYG,AWAY,27,22,49,MetLife Stadium,7,14,3,3,0,28,0,28:00,21,11,8,2,60,358,6.0,3,38,149,3.9,1,22,15,209,2,0,9.5,13.9,68.2,128.79,12,5,41.7,2,2,100.0,6,3,0,0,5,52,0,0,0,0,4,4,2,109,54.5,0,1,1,0,7,3,12,0,32,0,32:00,25,12,10,3,59,326,5.5,3,31,164,5.3,1,26,20,162,2,0,6.2,8.1,76.9,117.79,11,6,54.5,2,2,100.0,3,2,0,0,4,51,1,1,2,12,2,3,2,92,46.0,1,0,-1,50.0,0,66.7,0,3,3,0,0,0,0,0,2,2,1,1,0,2,0,0,0,1,1,34,35,2,12,3,1,1,30,37,0,0,2,0,0,Sunday,993004695,35,23,18804
202411035,2024-11-10T13:00:00,1,2024,10,WAS,PIT,HOME,27,28,55,Northwest Stadium,7,10,10,0,0,23,49,23:49,19,9,7,3,59,242,4.1,3,22,60,2.7,3,34,17,182,0,0,5.4,10.7,50.0,66.05,14,5,35.7,1,0,0.0,3,3,0,0,5,41,2,1,3,20,6,5,6,330,55.0,1,2,1,7,7,7,7,0,36,11,36:11,21,9,9,3,75,312,4.2,4,43,140,3.3,1,29,14,172,3,1,5.9,12.3,48.3,87.14,16,7,43.8,2,1,50.0,4,3,0,0,5,49,1,1,3,23,6,9,5,212,42.4,2,1,-1,100.0,0,75.0,0,3,3,0,0,0,0,0,2,2,4,4,0,0,0,0,0,0,0,38,41,3,23,2,1,1,40,7,3,20,5,0,1,Sunday,993004736,35,28,18818
