GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202310110,2023-09-10T16:25:00,1,2023,1,LV,DEN,AWAY,17,16,33,Empower Field at Mile High,7,3,0,7,0,27,52,27:52,22,5,11,6,55,261,4.7,2,29,61,2.1,0,26,20,200,2,1,7.7,10.0,76.9,107.85,11,5,45.5,1,1,100.0,4,2,0,0,10,97,1,0,0,0,4,7,1,49,49.0,1,0,-1,6,7,0,3,0,32,8,32:08,22,5,11,6,58,260,4.5,2,22,94,4.3,0,34,27,166,2,0,4.9,6.1,79.4,106.62,11,5,45.5,0,0,0.0,3,2,0,0,10,83,0,0,2,11,3,1,2,80,40.0,0,1,1,50.0,0,66.7,0,2,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,1,38,25,2,11,1,0,0,31,23,0,0,5,0,0,Sunday,993003797,25,10,18495
202310204,2023-09-17T13:00:00,1,2023,2,LV,BUF,AWAY,10,38,48,Highmark Stadium,7,3,0,0,0,19,56,19:56,13,2,10,1,39,240,6.2,1,15,55,3.7,0,24,16,185,1,2,7.7,11.6,66.7,68.92,7,3,42.9,0,0,0.0,2,1,0,0,2,30,1,1,0,0,2,4,3,149,49.7,3,0,-3,7,14,7,10,0,40,4,40:04,29,10,17,2,74,450,6.1,5,35,183,5.2,2,37,31,267,3,0,7.2,8.6,83.8,123.76,13,7,53.8,4,3,75.0,7,5,0,0,4,30,0,0,2,7,2,3,1,54,54.0,0,3,3,50.0,0,71.4,0,1,1,0,0,0,0,0,1,1,5,5,0,0,0,0,0,1,1,54,26,2,7,2,0,0,26,15,0,0,5,1,1,Sunday,993003817,25,4,18558
202310325,2023-09-24T20:20:00,1,2023,3,LV,PIT,HOME,18,23,41,Allegiant Stadium,7,0,0,11,0,29,57,29:57,19,4,12,3,67,362,5.4,2,19,69,3.6,0,44,28,293,2,3,6.7,10.5,63.6,69.6,13,4,30.8,2,1,50.0,2,1,0,0,7,60,1,0,4,31,5,5,5,262,52.4,3,0,-3,7,6,10,0,0,30,3,30:03,17,5,10,2,60,333,5.6,2,31,105,3.4,0,28,16,228,2,0,8.1,14.2,57.1,107.44,15,6,40.0,0,0,0.0,1,1,0,0,6,45,0,0,1,7,8,5,6,323,53.8,0,3,3,50.0,0,100.0,0,1,1,0,2,1,0,0,1,1,2,2,0,0,0,0,0,3,3,37,24,1,7,3,0,0,41,16,4,31,6,0,0,Sunday,993003868,25,28,18467
202310429,2023-10-01T16:05:00,1,2023,4,LV,LAC,AWAY,17,24,41,SoFi Stadium,7,0,3,7,0,32,51,32:51,22,7,12,3,69,264,3.8,2,23,76,3.3,2,39,24,188,0,1,4.8,7.8,61.5,62.77,11,1,9.1,3,3,100.0,5,2,0,0,9,80,3,2,7,50,4,5,5,269,53.8,3,1,-2,7,17,0,0,0,27,9,27:09,16,7,6,3,63,305,4.8,3,37,155,4.2,2,24,13,150,1,1,6.2,11.5,54.2,69.79,14,5,35.7,2,1,50.0,4,3,0,0,4,34,1,0,2,17,5,7,4,160,40.0,1,3,2,40.0,0,75.0,0,2,2,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,1,43,13,2,17,7,0,0,50,14,7,50,3,2,2,Sunday,993003895,25,29,18510
202310525,2023-10-09T20:15:00,1,2023,5,LV,GB,HOME,17,13,30,Allegiant Stadium,0,10,0,7,0,32,34,32:34,19,6,13,0,64,279,4.4,2,29,96,3.3,1,31,22,183,1,1,5.9,8.3,71.0,83.13,13,5,38.5,1,1,100.0,3,2,0,0,4,28,0,0,4,25,2,5,4,189,47.2,1,3,2,3,0,10,0,0,27,26,27:26,18,9,7,2,57,285,5.0,1,25,110,4.4,1,30,16,175,0,3,5.8,10.9,53.3,31.25,12,4,33.3,1,1,100.0,3,1,0,0,3,18,0,0,2,7,6,8,4,184,46.0,3,1,-2,66.7,0,33.3,0,2,2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,2,2,32,28,2,7,4,0,0,41,33,4,25,4,0,0,Monday,993003932,25,12,18357
202310625,2023-10-15T16:05:00,1,2023,6,LV,NE,HOME,21,17,38,Allegiant Stadium,3,10,3,5,0,32,12,32:12,19,4,12,3,65,348,5.4,1,33,84,2.5,0,32,20,264,1,1,8.2,13.2,62.5,85.94,16,8,50.0,0,0,0.0,6,1,0,0,6,42,0,0,0,0,5,3,2,103,51.5,1,1,0,0,3,7,7,0,27,48,27:48,17,8,7,2,56,259,4.6,2,19,83,4.4,2,33,24,176,0,1,5.3,7.3,72.7,72.29,12,6,50.0,0,0,0.0,2,2,0,0,10,79,0,0,4,24,3,2,3,138,46.0,1,1,0,16.7,0,100.0,0,1,1,0,0,0,0,0,4,4,2,2,0,0,0,0,0,1,1,39,20,4,24,3,0,0,42,22,0,0,5,0,0,Sunday,993003952,25,21,18367
202310706,2023-10-22T13:00:00,1,2023,7,LV,CHI,AWAY,12,30,42,Soldier Field,0,3,0,9,0,25,54,25:54,20,1,16,3,60,235,3.9,1,14,39,2.8,0,45,27,196,1,3,4.4,7.3,60.0,49.86,9,2,22.2,2,2,100.0,2,1,0,0,2,15,0,0,1,8,3,3,2,82,41.0,3,0,-3,7,7,7,9,0,34,6,34:06,23,13,10,0,69,323,4.7,4,38,173,4.6,2,29,21,150,1,0,5.2,7.1,72.4,95.47,13,8,61.5,1,0,0.0,3,3,0,0,9,110,1,0,2,12,3,2,3,120,40.0,0,3,3,50.0,0,100.0,0,0,0,0,2,0,0,0,3,2,4,3,1,0,0,0,0,1,1,40,35,2,12,3,1,0,35,14,1,8,10,0,0,Sunday,993003969,25,6,18516
202310811,2023-10-30T20:15:00,1,2023,8,LV,DET,AWAY,14,26,40,Ford Field,0,7,7,0,0,20,27,20:27,12,4,6,2,45,157,3.5,2,18,80,4.4,1,21,10,77,0,1,3.7,7.7,47.6,37.2,9,1,11.1,3,0,0.0,1,1,0,0,4,40,2,0,6,49,5,4,5,242,48.4,1,3,2,3,13,7,3,0,39,33,39:33,29,10,17,2,81,486,6.0,2,43,222,5.2,1,37,26,264,1,1,7.1,10.2,70.3,88.12,14,6,42.9,1,1,100.0,5,1,0,0,5,55,2,2,1,8,9,7,1,48,48.0,3,1,-2,100.0,0,20.0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,4,53,39,1,8,3,2,2,28,13,6,49,3,1,0,Monday,993004019,25,11,18587
202310925,2023-11-05T16:25:00,1,2023,9,LV,NYG,HOME,30,6,36,Allegiant Stadium,0,0,0,0,30,28,56,28:56,15,6,9,0,59,334,5.7,3,34,125,3.7,3,25,16,209,0,0,8.4,13.1,64.0,90.25,14,5,35.7,1,0,0.0,4,3,0,0,4,30,0,0,0,0,9,8,5,318,63.6,0,2,2,0,0,0,0,6,31,4,31:04,15,5,10,0,62,277,4.5,1,25,123,4.9,0,29,19,154,1,2,5.3,8.1,65.5,61.57,12,3,25.0,5,1,20.0,1,1,0,0,3,8,1,0,8,46,1,5,4,169,42.2,2,0,-2,75.0,0,100.0,0,3,3,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,46,24,8,46,5,1,0,37,27,0,0,2,0,0,Sunday,993004044,25,23,18381
202311025,2023-11-12T20:20:00,1,2023,10,LV,NYJ,HOME,16,12,28,Allegiant Stadium,3,3,3,7,0,30,18,30:18,15,7,7,1,62,274,4.4,1,32,148,4.6,0,27,16,126,1,1,4.7,7.9,59.3,67.82,15,5,33.3,2,2,100.0,1,1,0,0,3,25,3,1,3,27,5,2,5,253,50.6,2,1,-1,6,3,0,3,0,29,42,29:42,14,3,11,0,63,365,5.8,0,21,108,5.1,0,40,23,257,0,1,6.4,11.2,57.5,66.35,16,7,43.8,0,0,0.0,1,0,0,0,8,83,1,0,2,6,7,5,5,276,55.2,1,2,1,100.0,0,0.0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,42,19,2,6,5,1,0,36,35,3,27,4,2,1,Sunday,993004074,25,24,18396
