gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202310130.0,2023-09-10T16:25:00,1,2023,1,SEA,LAR,HOME,13.0,30.0,43.0,Lumen Field,3.0,10.0,0.0,0.0,0.0,,,20:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,10.0,13.0,0.0,,,39:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003802,30,32,,-17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310211.0,2023-09-17T13:00:00,1,2023,2,SEA,DET,AWAY,37.0,31.0,68.0,Ford Field,7.0,0.0,10.0,14.0,6.0,20.0,37.0,33:31,13.0,3.0,7.0,3.0,46.0,180.0,3.9,1.0,18.0,85.0,4.7,0.0,26.0,16.0,95.0,1.0,0.0,3.7,5.9,61.5,81.41,9.0,2.0,22.2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,55.0,0.0,0.0,2.0,17.0,2.0,5.0,4.0,236.0,59.0,0.0,0.0,0.0,7.0,7.0,7.0,10.0,0.0,39.0,23.0,30:48,27.0,8.0,17.0,2.0,78.0,426.0,5.5,3.0,40.0,92.0,2.3,3.0,38.0,24.0,334.0,0.0,0.0,8.8,13.9,63.2,91.34,17.0,11.0,64.7,1.0,1.0,100.0,3.0,3.0,0.0,0.0,7.0,53.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,45.0,45.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,47.0,34.0,0.0,0.0,1.0,0.0,0.0,27.0,24.0,2.0,17.0,1.0,0.0,0.0,Sunday,993003821,30,11,18498.0,6.0,1,0.0,0.222,0.0,-0.0599650565420506,0.5074626865671642,-0.0325679926152722,-0.0474725237684598,0.1893046392522717,0.5,0.5384398512851933,-0.0381212866134185,13.0,30.0,-17.0,180.0,426.0,0.0,0.222,0.0,13.0,30.0,0.0,-0.0599650565420506,0.5074626865671642,-0.0325679926152722,-0.0474725237684598,0.1893046392522717,0.5,0.5384398512851933,-0.0381212866134185,-0.0599650565420506,0.1893046392522717
202310330.0,2023-09-24T16:05:00,1,2023,3,SEA,CAR,HOME,37.0,27.0,64.0,Lumen Field,3.0,9.0,10.0,15.0,0.0,33.0,31.0,30:28,28.0,7.0,18.0,3.0,67.0,393.0,5.9,5.0,25.0,82.0,3.3,2.0,41.0,32.0,311.0,2.0,0.0,7.6,9.7,78.0,114.53,11.0,5.0,45.5,1.0,1.0,100.0,5.0,4.0,0.0,0.0,9.0,80.0,0.0,0.0,1.0,17.0,6.0,6.0,3.0,152.0,50.7,0.0,3.0,3.0,3.0,10.0,0.0,14.0,0.0,30.0,48.0,29:32,25.0,5.0,17.0,3.0,64.0,418.0,6.5,4.0,27.0,102.0,3.8,1.0,35.0,28.0,316.0,3.0,1.0,9.0,11.3,80.0,120.95,11.0,6.0,54.5,3.0,1.0,33.3,2.0,2.0,0.0,0.0,4.0,24.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,53.0,53.0,3.0,0.0,-3.0,80.0,0.0,100.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,21.0,2.0,7.0,3.0,2.0,2.0,50.0,15.0,1.0,17.0,2.0,0.0,0.0,Sunday,993003862,30,5,18560.0,10.0,1,3.0,0.455,0.0,0.0940891081833828,0.5108695652173914,0.2714300150269347,0.1028392842325213,-0.0256982183317195,0.4810126582278481,0.1664294234431123,-0.3201244722596905,25.0,30.5,-5.5,286.5,422.0,1.5,0.338,0.5,50.0,61.0,1.0,0.0170620258206661,0.5091661258922777,0.11943101120583124,0.02768338023203075,0.0818032104602761,0.49050632911392406,0.3524346373641528,-0.1791228794365545,0.0170620258206661,0.0818032104602761
202310423.0,2023-10-02T20:15:00,1,2023,4,SEA,NYG,AWAY,24.0,3.0,27.0,MetLife Stadium,7.0,7.0,7.0,3.0,0.0,30.0,28.0,24:00,27.0,10.0,14.0,3.0,71.0,425.0,6.0,3.0,33.0,146.0,4.4,2.0,36.0,23.0,279.0,1.0,1.0,7.8,12.1,63.9,85.3,13.0,3.0,23.1,1.0,1.0,100.0,6.0,3.0,0.0,0.0,8.0,82.0,0.0,0.0,2.0,17.0,10.0,4.0,2.0,93.0,46.5,1.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,29.0,32.0,36:00,23.0,3.0,17.0,3.0,75.0,378.0,5.0,3.0,14.0,44.0,3.1,1.0,58.0,34.0,334.0,2.0,0.0,5.8,9.8,58.6,86.42,19.0,10.0,52.6,1.0,0.0,0.0,2.0,2.0,0.0,0.0,13.0,82.0,0.0,0.0,3.0,27.0,8.0,6.0,5.0,246.0,49.2,0.0,1.0,1.0,50.0,0.0,100.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,44.0,19.0,3.0,27.0,8.0,0.0,0.0,46.0,20.0,2.0,17.0,3.0,0.0,0.0,Monday,993003903,30,23,18464.0,21.0,1,-1.0,0.231,0.0,0.1651991303586694,0.532608695652174,0.1524070311465027,0.2224121329394014,0.0127023599264026,0.3703703703703703,0.1385922547161689,-0.1805456602417577,29.0,29.3,-0.3,332.6666666666667,407.3333333333333,0.667,0.303,0.667,87.0,88.0,2.0,0.0664410606666672,0.5169803158122431,0.13042301785272173,0.09259296446782096,0.0587695936156516,0.4504610095327395,0.28115384314815817,-0.17959713970495558,0.0664410606666672,0.0587695936156516
202310607.0,2023-10-15T13:00:00,1,2023,6,SEA,CIN,AWAY,13.0,17.0,30.0,Paycor Stadium,7.0,3.0,3.0,0.0,0.0,24.0,0.0,34:01,13.0,6.0,6.0,1.0,51.0,281.0,5.5,3.0,23.0,121.0,5.3,1.0,26.0,15.0,160.0,1.0,0.0,6.2,10.7,57.7,88.62,12.0,3.0,25.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,8.0,74.0,0.0,0.0,2.0,13.0,14.0,10.0,4.0,214.0,53.5,0.0,3.0,3.0,7.0,7.0,0.0,3.0,0.0,36.0,0.0,25:59,17.0,7.0,9.0,1.0,74.0,248.0,3.4,0.0,29.0,112.0,3.9,0.0,34.0,27.0,136.0,0.0,2.0,4.0,5.0,79.4,58.82,16.0,6.0,37.5,4.0,2.0,50.0,1.0,0.0,0.0,0.0,6.0,45.0,3.0,1.0,11.0,67.0,3.0,6.0,5.0,268.0,53.6,3.0,0.0,-3.0,50.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,33.0,11.0,67.0,4.0,2.0,1.0,35.0,15.0,2.0,13.0,4.0,0.0,0.0,Sunday,993003943,30,7,18514.0,-4.0,0,3.0,0.25,0.0,-0.1338223392374336,0.4492753623188406,-0.2225121987638074,-0.0710320765344174,-0.389882336188748,0.3295454545454545,-0.5167130252538708,-0.3303806661405479,32.7,20.3,12.3,366.3333333333333,348.0,1.667,0.312,0.75,111.0,91.0,3.0,0.041821966434872855,0.497584541062802,0.06710828246987667,0.08473978021250177,-0.134292731531355,0.3936428277145576,-0.0705637823648632,-0.27701693288066537,0.016375210690641996,-0.0533933888354483
202310730.0,2023-10-22T16:05:00,1,2023,7,SEA,ARI,HOME,20.0,10.0,30.0,Lumen Field,7.0,7.0,3.0,3.0,0.0,34.0,1.0,30:32,24.0,6.0,13.0,5.0,70.0,384.0,5.5,1.0,25.0,87.0,3.5,1.0,41.0,27.0,297.0,0.0,2.0,7.2,11.0,65.9,66.82,12.0,5.0,41.7,2.0,0.0,0.0,5.0,1.0,0.0,0.0,7.0,64.0,0.0,0.0,4.0,29.0,5.0,4.0,3.0,115.0,38.3,2.0,1.0,-1.0,3.0,7.0,0.0,0.0,0.0,25.0,59.0,29:28,15.0,3.0,10.0,2.0,53.0,214.0,4.0,2.0,15.0,46.0,3.1,0.0,35.0,24.0,168.0,2.0,1.0,4.8,7.0,68.6,86.37,11.0,3.0,27.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,43.0,0.0,0.0,3.0,17.0,14.0,8.0,6.0,274.0,45.7,1.0,2.0,1.0,20.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,12.0,3.0,17.0,6.0,0.0,0.0,52.0,19.0,4.0,29.0,7.0,0.0,0.0,Sunday,993003980,30,1,18361.0,10.0,1,-1.0,0.417,0.0,-0.0553701955076787,0.4418604651162791,-0.0666998714032165,-0.0777443008727541,-0.0260719432374808,0.4428571428571428,-0.0571783568935584,-0.1823999821208417,24.7,15.7,9.0,363.3333333333333,280.0,0.333,0.299,0.6,124.0,108.0,3.0,-0.007997801462147638,0.4745815076957645,-0.04560167967350707,0.024545251844076636,-0.13441730649994207,0.38092432259098913,-0.14509970914375342,-0.2311087695010491,0.0020261294509778564,-0.0479290997158548
202310830.0,2023-10-29T16:05:00,1,2023,8,SEA,CLE,HOME,24.0,20.0,44.0,Lumen Field,17.0,0.0,0.0,7.0,0.0,30.0,32.0,23:20,18.0,6.0,11.0,1.0,58.0,318.0,5.5,2.0,32.0,115.0,3.6,0.0,24.0,18.0,203.0,2.0,1.0,8.5,11.3,75.0,110.24,13.0,7.0,53.8,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,32.0,2.0,2.0,2.0,16.0,8.0,7.0,3.0,143.0,47.7,3.0,0.0,-3.0,7.0,7.0,6.0,0.0,0.0,29.0,28.0,36:40,15.0,6.0,7.0,2.0,63.0,249.0,4.0,1.0,25.0,127.0,5.1,1.0,34.0,20.0,122.0,0.0,0.0,3.6,6.1,58.8,66.05,15.0,5.0,33.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,59.0,2.0,0.0,4.0,28.0,3.0,5.0,5.0,240.0,48.0,0.0,3.0,3.0,33.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,45.0,18.0,4.0,28.0,8.0,1.0,0.0,38.0,23.0,2.0,16.0,3.0,1.0,2.0,Sunday,993004010,30,8,18523.0,4.0,1,-3.0,0.538,0.0,-0.0047256347733814,0.4647887323943662,0.3636501087534258,-0.3503436229035163,-0.147434180319276,0.3373493975903614,-0.3384963540389306,-0.0053372809561551,19.0,10.0,9.0,327.6666666666667,237.0,-0.333,0.402,0.8,144.0,118.0,4.0,-0.06463938983949791,0.4519748532764953,0.024812679528800636,-0.16637333343689592,-0.1877961532485016,0.3699173316643196,-0.3041292453954532,-0.1727059764058482,0.013074013804711699,-0.11527686363016434
202310903.0,2023-11-05T13:00:00,1,2023,9,SEA,BAL,AWAY,3.0,37.0,40.0,M&T Bank Stadium,0.0,0.0,0.0,0.0,3.0,23.0,20.0,19:56,17.0,5.0,12.0,0.0,55.0,362.0,6.6,3.0,17.0,114.0,6.7,1.0,37.0,23.0,248.0,2.0,2.0,6.7,10.8,62.2,77.31,12.0,4.0,33.3,1.0,1.0,100.0,5.0,3.0,0.0,0.0,7.0,43.0,1.0,0.0,1.0,6.0,10.0,7.0,5.0,274.0,54.8,2.0,3.0,1.0,0.0,0.0,0.0,0.0,37.0,36.0,40.0,40:04,23.0,9.0,10.0,4.0,75.0,385.0,5.1,2.0,40.0,155.0,3.9,1.0,32.0,16.0,230.0,1.0,2.0,7.2,14.4,50.0,58.07,15.0,6.0,40.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,25.0,1.0,1.0,3.0,27.0,3.0,4.0,3.0,142.0,47.3,3.0,2.0,-1.0,60.0,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,39.0,3.0,27.0,6.0,1.0,1.0,36.0,11.0,1.0,6.0,4.0,1.0,0.0,Sunday,993004031,30,3,18582.0,-34.0,0,1.0,0.333,0.0,0.0079082101394324,0.4520547945205479,0.0481430511033749,0.1028716196015011,-0.0250274137144929,0.4301075268817204,0.0158402147871511,-0.05664478765401,19.0,15.7,3.3,354.6666666666667,282.6666666666667,-1.0,0.429,0.8,168.0,138.0,5.0,-0.017395873380542572,0.4529013306770644,0.11503109615119474,-0.10840543472492309,-0.06617784575708323,0.40343802244307486,-0.12661149871511265,-0.08146068357700227,-0.004162165804078383,-0.11514270270671903
202311030.0,2023-11-12T16:25:00,1,2023,10,SEA,WAS,HOME,29.0,26.0,55.0,Lumen Field,3.0,6.0,7.0,13.0,0.0,19.0,56.0,30:27,6.0,1.0,5.0,0.0,47.0,151.0,3.2,0.0,15.0,28.0,1.9,0.0,28.0,13.0,123.0,0.0,1.0,4.4,9.5,46.4,44.2,12.0,1.0,8.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,29.0,1.0,1.0,4.0,34.0,0.0,4.0,7.0,320.0,45.7,2.0,2.0,0.0,6.0,3.0,3.0,14.0,0.0,40.0,4.0,29:33,29.0,16.0,11.0,2.0,75.0,515.0,6.9,4.0,41.0,298.0,7.3,3.0,33.0,26.0,217.0,1.0,0.0,6.6,8.3,78.8,104.17,13.0,6.0,46.2,2.0,1.0,50.0,6.0,3.0,0.0,0.0,3.0,11.0,3.0,2.0,1.0,8.0,4.0,5.0,2.0,113.0,56.5,2.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,53.0,23.0,1.0,8.0,2.0,2.0,2.0,29.0,8.0,4.0,34.0,7.0,1.0,1.0,Sunday,993004070,30,35,18378.0,3.0,1,0.0,0.083,0.0,-0.3571953501741518,0.25,-0.4096435778452003,-0.5398229581603248,0.1569405937453091,0.5054945054945055,-0.0135598220117105,0.4102701451209011,15.7,22.3,-6.7,277.0,383.0,-0.667,0.318,0.6,171.0,175.0,5.0,-0.11800425826936695,0.3889478423049713,0.0007165273372001421,-0.26243165382078,-0.00517366676281993,0.4243171433221957,-0.11207198708783,0.11609602550357867,-0.10864106191064263,-0.08629505594293771
202311132.0,2023-11-19T16:25:00,1,2023,11,SEA,LAR,AWAY,16.0,17.0,33.0,SoFi Stadium,7.0,6.0,3.0,0.0,0.0,30.0,27.0,32:06,27.0,7.0,16.0,4.0,74.0,489.0,6.6,2.0,26.0,120.0,4.6,0.0,47.0,31.0,369.0,2.0,0.0,7.9,11.9,66.0,103.95,14.0,4.0,28.6,1.0,1.0,100.0,2.0,1.0,0.0,0.0,8.0,50.0,0.0,0.0,1.0,0.0,6.0,3.0,4.0,181.0,45.2,0.0,1.0,1.0,0.0,7.0,0.0,10.0,0.0,29.0,33.0,27:54,16.0,3.0,13.0,0.0,61.0,356.0,5.8,3.0,14.0,68.0,4.9,0.0,44.0,29.0,288.0,3.0,0.0,6.5,9.9,65.9,107.01,15.0,7.0,46.7,1.0,1.0,100.0,1.0,1.0,0.0,0.0,6.0,39.0,1.0,1.0,3.0,24.0,5.0,4.0,5.0,227.0,45.4,1.0,0.0,-1.0,50.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,16.0,3.0,24.0,7.0,1.0,1.0,49.0,25.0,1.0,0.0,5.0,0.0,0.0,Sunday,993004097,30,32,18395.0,-1.0,0,1.0,0.286,0.0,0.0988245376776351,0.4563106796116505,0.165879476780557,0.0298888214759062,0.106851041306274,0.4375,0.2480514342164987,-0.3571352528774046,18.7,27.7,-9.0,334.0,418.6666666666667,0.667,0.234,0.6,200.0,201.0,6.0,-0.08348753411902811,0.38612182471073275,-0.06520701665375613,-0.13568750569430585,0.07958807377903006,0.457700677458742,0.0834439423306464,-0.0011699651368378323,-0.062111686527628884,0.013051619556066683
