gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210135.0,2022-09-11T13:00:00,,2022,1,JAX,WAS,AWAY,22.0,28.0,50.0,FedEx Field,3.0,0.0,9.0,10.0,0.0,,,27:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,14.0,0.0,,,32:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993003115,15,35,,-6.0,0,,,,,,,,,,,,,,
202210215.0,2022-09-18T13:00:00,1.0,2022,2,JAX,IND,HOME,24.0,0.0,24.0,TIAA Bank Field,7.0,10.0,7.0,0.0,0.0,27.0,3.0,38:15,24.0,6.0,13.0,5.0,62.0,383.0,6.2,2.0,18.0,123.0,6.8,1.0,42.0,24.0,260.0,1.0,1.0,6.2,10.8,57.1,73.51,12.0,3.0,25.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,13.0,90.0,1.0,0.0,2.0,15.0,4.0,5.0,3.0,150.0,50.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,57.0,21:45,26.0,7.0,16.0,3.0,70.0,390.0,5.6,4.0,28.0,85.0,3.0,0.0,41.0,27.0,305.0,4.0,2.0,7.4,11.3,65.9,100.15,10.0,7.0,70.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,63.0,1.0,1.0,1.0,8.0,10.0,3.0,3.0,147.0,49.0,3.0,1.0,-2.0,40.0,0.0,100.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,42.0,15.0,1.0,8.0,6.0,1.0,1.0,38.0,11.0,2.0,15.0,5.0,1.0,0.0,Sunday,993003146,15,14,18013.0,24.0,1,2.0,0.25,0.0,,,,,,,,,22.0,28.0,0.0
202210329.0,2022-09-25T16:05:00,1.0,2022,3,JAX,LAC,AWAY,38.0,10.0,48.0,SoFi Stadium,0.0,16.0,15.0,7.0,0.0,38.0,15.0,38:27,21.0,6.0,14.0,1.0,67.0,331.0,4.9,3.0,37.0,96.0,2.6,1.0,30.0,25.0,235.0,2.0,0.0,7.8,9.4,83.3,121.53,15.0,6.0,40.0,3.0,2.0,66.7,2.0,2.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,11.0,5.0,5.0,228.0,45.6,0.0,3.0,3.0,0.0,7.0,3.0,0.0,0.0,21.0,45.0,21:33,9.0,3.0,6.0,0.0,48.0,218.0,4.5,0.0,13.0,54.0,4.2,0.0,30.0,16.0,164.0,0.0,3.0,5.5,10.2,53.3,29.72,10.0,2.0,20.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,30.0,2.0,0.0,5.0,31.0,2.0,8.0,5.0,227.0,45.4,3.0,0.0,-3.0,100.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,5.0,31.0,11.0,1.0,0.0,53.0,15.0,0.0,0.0,3.0,0.0,0.0,Sunday,993003193,15,29,18026.0,28.0,1,3.0,0.4,0.0,,,,,,,,,46.0,28.0,1.0
202210426.0,2022-10-02T13:00:00,1.0,2022,4,JAX,PHI,AWAY,21.0,29.0,50.0,Lincoln Financial Field,14.0,0.0,0.0,7.0,0.0,38.0,27.0,20:09,25.0,8.0,16.0,1.0,75.0,413.0,5.5,4.0,36.0,151.0,4.2,1.0,39.0,28.0,262.0,3.0,0.0,6.7,9.4,71.8,115.54,15.0,8.0,53.3,3.0,2.0,66.7,6.0,3.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,56.0,56.0,0.0,2.0,2.0,0.0,20.0,0.0,9.0,0.0,21.0,33.0,39:51,16.0,2.0,13.0,1.0,58.0,312.0,5.4,1.0,12.0,26.0,2.2,0.0,45.0,25.0,286.0,1.0,1.0,6.4,11.4,55.6,73.01,13.0,5.0,38.5,2.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,54.0,1.0,1.0,1.0,11.0,2.0,6.0,4.0,175.0,43.8,2.0,0.0,-2.0,50.0,0.0,33.3,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,11.0,1.0,11.0,9.0,1.0,1.0,50.0,23.0,0.0,0.0,4.0,0.0,0.0,Sunday,993003219,15,26,18058.0,-8.0,0,2.0,0.533,0.0,28.0,12.7,15.3,375.6666666666667,306.6666666666667,2.333,0.394,,84.0,38.0,2.0
202210515.0,2022-10-09T13:00:00,1.0,2022,5,JAX,HOU,HOME,6.0,13.0,19.0,TIAA Bank Field,3.0,3.0,0.0,0.0,0.0,20.0,9.0,28:13,13.0,3.0,9.0,1.0,46.0,219.0,4.8,3.0,19.0,71.0,3.7,0.0,23.0,11.0,148.0,2.0,1.0,6.4,13.5,47.8,79.62,7.0,2.0,28.6,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,38.0,5.0,4.0,4.0,26.0,5.0,6.0,3.0,160.0,53.3,5.0,1.0,-4.0,0.0,6.0,0.0,7.0,0.0,39.0,51.0,31:47,25.0,14.0,8.0,3.0,77.0,401.0,5.2,4.0,50.0,210.0,4.2,4.0,25.0,16.0,191.0,0.0,1.0,7.6,11.9,64.0,70.58,15.0,4.0,26.7,5.0,3.0,60.0,6.0,4.0,0.0,0.0,3.0,20.0,1.0,0.0,2.0,13.0,3.0,3.0,3.0,134.0,44.7,1.0,5.0,4.0,66.7,0.0,66.7,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,42.0,41.0,2.0,13.0,5.0,0.0,0.0,25.0,14.0,4.0,26.0,4.0,3.0,4.0,Sunday,993003244,15,13,18267.0,-7.0,0,-4.0,0.286,0.0,27.7,13.0,14.7,321.0,310.3333333333333,0.333,0.406,,105.0,67.0,2.0
202210614.0,2022-10-16T13:00:00,1.0,2022,6,JAX,IND,AWAY,27.0,34.0,61.0,Lucas Oil Stadium,7.0,7.0,7.0,6.0,0.0,28.0,13.0,31:11,22.0,6.0,15.0,1.0,73.0,422.0,5.8,0.0,26.0,136.0,5.2,0.0,47.0,25.0,286.0,0.0,2.0,6.1,11.4,53.2,54.03,14.0,6.0,42.9,3.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,159.0,53.0,2.0,0.0,-2.0,0.0,13.0,6.0,15.0,0.0,31.0,47.0,28:49,15.0,7.0,6.0,2.0,56.0,248.0,4.4,1.0,31.0,116.0,3.7,1.0,24.0,16.0,132.0,0.0,0.0,5.5,8.2,66.7,80.56,13.0,5.0,38.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,25.0,0.0,0.0,1.0,8.0,1.0,3.0,6.0,293.0,48.8,0.0,2.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,21.0,1.0,8.0,2.0,0.0,0.0,45.0,16.0,0.0,0.0,8.0,0.0,0.0,Sunday,993003277,15,14,18173.0,-7.0,0,-2.0,0.429,0.0,21.7,17.3,4.3,351.3333333333333,320.3333333333333,-1.333,0.416,0.4,111.0,80.0,2.0
202210715.0,2022-10-23T13:00:00,1.0,2022,7,JAX,NYG,HOME,17.0,23.0,40.0,TIAA Bank Field,8.0,3.0,6.0,0.0,0.0,31.0,11.0,25:50,25.0,13.0,8.0,4.0,59.0,379.0,6.4,4.0,33.0,243.0,7.4,3.0,22.0,20.0,136.0,1.0,0.0,6.2,6.8,90.9,107.58,10.0,5.0,50.0,2.0,1.0,50.0,3.0,3.0,0.0,0.0,4.0,44.0,2.0,1.0,4.0,29.0,6.0,3.0,3.0,151.0,50.3,1.0,0.0,-1.0,7.0,6.0,0.0,10.0,0.0,28.0,49.0,34:10,29.0,4.0,22.0,3.0,74.0,434.0,5.9,4.0,16.0,45.0,2.8,1.0,58.0,42.0,389.0,3.0,0.0,6.7,9.3,72.4,107.61,15.0,10.0,66.7,0.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,52.0,2.0,0.0,0.0,0.0,4.0,9.0,3.0,110.0,36.7,0.0,1.0,1.0,100.0,0.0,75.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,45.0,25.0,0.0,0.0,7.0,1.0,0.0,43.0,28.0,4.0,29.0,0.0,1.0,1.0,Sunday,993003308,15,23,18183.0,-6.0,0,-1.0,0.5,0.0,18.0,25.3,-7.3,340.0,361.0,-2.333,0.405,0.4,138.0,114.0,2.0
202210815.0,2022-10-30T09:30:00,1.0,2022,8,JAX,DEN,HOME,17.0,21.0,38.0,Wembley Stadium,7.0,3.0,0.0,7.0,0.0,25.0,50.0,34:04,27.0,7.0,15.0,5.0,65.0,452.0,7.0,2.0,21.0,142.0,6.8,2.0,44.0,22.0,310.0,0.0,0.0,7.0,14.1,50.0,73.11,13.0,6.0,46.2,4.0,2.0,50.0,5.0,2.0,0.0,0.0,13.0,81.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,106.0,53.0,1.0,0.0,-1.0,0.0,7.0,7.0,7.0,0.0,34.0,10.0,25:56,27.0,13.0,11.0,3.0,70.0,436.0,6.2,2.0,39.0,236.0,6.1,1.0,30.0,19.0,200.0,1.0,0.0,6.7,10.5,63.3,93.75,12.0,6.0,50.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,8.0,67.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,80.0,40.0,0.0,1.0,1.0,40.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,42.0,32.0,1.0,2.0,8.0,0.0,0.0,32.0,19.0,0.0,0.0,7.0,1.0,1.0,Sunday,993003328,15,10,18041.0,-4.0,0,-1.0,0.462,0.0,16.7,23.3,-6.7,417.6666666666667,372.6666666666667,-1.333,0.463,0.2,155.0,137.0,2.0
202210915.0,2022-11-06T13:00:00,1.0,2022,9,JAX,LV,HOME,27.0,20.0,47.0,TIAA Bank Field,0.0,10.0,7.0,10.0,0.0,34.0,4.0,32:25,24.0,12.0,6.0,6.0,65.0,305.0,4.7,2.0,32.0,191.0,6.0,1.0,31.0,18.0,114.0,1.0,2.0,3.7,6.3,58.1,49.66,11.0,4.0,36.4,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,54.0,2.0,0.0,2.0,19.0,8.0,2.0,6.0,287.0,47.8,2.0,1.0,-1.0,7.0,13.0,0.0,0.0,0.0,25.0,56.0,27:35,18.0,7.0,11.0,0.0,61.0,331.0,5.4,3.0,28.0,101.0,3.6,2.0,30.0,18.0,230.0,1.0,1.0,7.7,12.8,60.0,81.25,11.0,2.0,18.2,3.0,2.0,66.7,3.0,3.0,0.0,0.0,12.0,80.0,0.0,0.0,3.0,22.0,2.0,6.0,6.0,306.0,51.0,1.0,2.0,1.0,33.3,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,3.0,22.0,5.0,0.0,0.0,44.0,23.0,2.0,19.0,3.0,1.0,0.0,Sunday,993003360,15,25,17998.0,7.0,1,-1.0,0.364,0.0,20.3,26.0,-5.7,378.6666666666667,400.3333333333333,-1.0,0.442,0.0,172.0,158.0,2.0
202211016.0,2022-11-13T13:00:00,1.0,2022,10,JAX,KC,AWAY,17.0,27.0,44.0,Arrowhead Stadium,0.0,7.0,3.0,7.0,0.0,32.0,25.0,31:39,22.0,10.0,12.0,0.0,68.0,403.0,5.9,3.0,37.0,168.0,4.5,2.0,31.0,25.0,235.0,1.0,0.0,7.6,9.4,80.6,109.01,15.0,9.0,60.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,30.0,1.0,1.0,0.0,0.0,3.0,7.0,3.0,163.0,54.3,1.0,1.0,0.0,7.0,13.0,7.0,0.0,0.0,27.0,35.0,28:21,16.0,5.0,11.0,0.0,57.0,321.0,5.6,2.0,19.0,73.0,3.8,0.0,36.0,21.0,248.0,2.0,0.0,6.9,11.8,58.3,97.92,12.0,3.0,25.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,5.0,45.0,1.0,1.0,2.0,11.0,4.0,3.0,4.0,196.0,49.0,1.0,1.0,0.0,75.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,19.0,2.0,11.0,6.0,1.0,1.0,47.0,30.0,0.0,0.0,2.0,0.0,1.0,Sunday,993003395,15,16,18141.0,-10.0,0,0.0,0.6,0.0,20.3,21.3,-1.0,386.6666666666667,362.6666666666667,-0.667,0.475,0.2,199.0,178.0,3.0
