gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins
202210130.0,2022-09-12T20:15:00,,2022,1,SEA,DEN,HOME,17.0,16.0,33.0,Lumen Field,7.0,10.0,0.0,0.0,0.0,,,26:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,0.0,3.0,0.0,,,33:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,993003140,30,10,,1.0,1,,,,,,,,,,,,,,
202210231.0,2022-09-18T16:05:00,1.0,2022,2,SEA,SF,AWAY,7.0,27.0,34.0,Levi's Stadium,0.0,0.0,7.0,0.0,0.0,26.0,21.0,21:40,19.0,3.0,9.0,7.0,49.0,253.0,5.2,2.0,19.0,76.0,4.0,0.0,28.0,23.0,177.0,2.0,0.0,6.3,7.7,82.1,116.82,11.0,6.0,54.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,77.0,3.0,1.0,2.0,18.0,8.0,6.0,2.0,101.0,50.5,1.0,2.0,1.0,6.0,14.0,0.0,7.0,0.0,33.0,39.0,38:20,20.0,5.0,13.0,2.0,64.0,433.0,6.8,1.0,20.0,103.0,5.2,0.0,42.0,29.0,330.0,1.0,0.0,7.9,11.4,69.0,100.3,15.0,8.0,53.3,1.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,106.0,2.0,2.0,2.0,10.0,4.0,3.0,1.0,36.0,36.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,45.0,18.0,2.0,10.0,4.0,2.0,2.0,31.0,23.0,2.0,18.0,2.0,3.0,1.0,Sunday,993003159,30,31,18021.0,-20.0,0,1.0,0.545,0.0,,,,,,,,,17.0,16.0,1.0
202210330.0,2022-09-25T16:25:00,1.0,2022,3,SEA,ATL,HOME,23.0,27.0,50.0,Lumen Field,10.0,10.0,3.0,0.0,0.0,21.0,40.0,31:46,14.0,3.0,10.0,1.0,47.0,216.0,4.6,1.0,14.0,36.0,2.6,0.0,31.0,24.0,180.0,0.0,2.0,5.8,7.5,77.4,63.91,7.0,2.0,28.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,106.0,1.0,1.0,2.0,17.0,4.0,7.0,5.0,249.0,49.8,3.0,0.0,-3.0,10.0,7.0,10.0,0.0,0.0,38.0,20.0,28:14,25.0,11.0,8.0,6.0,70.0,373.0,5.3,3.0,45.0,189.0,4.2,2.0,24.0,15.0,184.0,1.0,0.0,7.7,12.3,62.5,100.0,15.0,6.0,40.0,3.0,2.0,66.7,5.0,2.0,0.0,0.0,1.0,26.0,2.0,0.0,1.0,0.0,9.0,7.0,3.0,132.0,44.0,0.0,3.0,3.0,0.0,0.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,52.0,21.0,1.0,0.0,2.0,0.0,0.0,33.0,14.0,2.0,17.0,5.0,0.0,1.0,Sunday,993003200,30,2,18028.0,-4.0,0,-3.0,0.286,0.0,,,,,,,,,24.0,43.0,1.0
202210411.0,2022-10-02T13:00:00,1.0,2022,4,SEA,DET,AWAY,48.0,45.0,93.0,Ford Field,14.0,10.0,14.0,10.0,0.0,31.0,46.0,33:06,23.0,8.0,15.0,0.0,69.0,420.0,6.1,2.0,23.0,112.0,4.9,0.0,44.0,32.0,308.0,2.0,1.0,7.0,9.6,72.7,97.54,17.0,9.0,52.9,3.0,2.0,66.7,5.0,2.0,0.0,0.0,6.0,47.0,0.0,0.0,2.0,17.0,6.0,2.0,2.0,102.0,51.0,1.0,2.0,1.0,6.0,9.0,8.0,22.0,0.0,28.0,14.0,26:54,24.0,8.0,13.0,3.0,54.0,386.0,7.1,3.0,31.0,179.0,5.8,2.0,20.0,13.0,207.0,1.0,1.0,10.4,15.9,65.0,95.21,7.0,4.0,57.1,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,15.0,2.0,1.0,3.0,22.0,5.0,5.0,1.0,73.0,73.0,2.0,1.0,-1.0,40.0,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,17.0,3.0,22.0,2.0,1.0,1.0,49.0,14.0,2.0,17.0,8.0,0.0,0.0,Sunday,993003215,30,11,18060.0,3.0,1,1.0,0.529,0.0,15.7,23.3,-7.7,296.3333333333333,397.3333333333333,-0.333,0.454,,47.0,70.0,1.0
202210522.0,2022-10-09T13:00:00,1.0,2022,5,SEA,NO,AWAY,32.0,39.0,71.0,Caesars Superdome,10.0,9.0,0.0,13.0,0.0,33.0,6.0,22:25,27.0,12.0,14.0,1.0,63.0,555.0,8.8,6.0,33.0,235.0,7.1,3.0,30.0,23.0,320.0,2.0,0.0,10.7,13.9,76.7,132.64,12.0,9.0,75.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,11.0,76.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,14.0,14.0,8.0,0.0,26.0,54.0,37:35,27.0,6.0,19.0,2.0,66.0,520.0,7.9,6.0,25.0,145.0,5.8,2.0,40.0,27.0,375.0,4.0,1.0,9.4,13.9,67.5,120.31,10.0,4.0,40.0,3.0,3.0,100.0,4.0,4.0,0.0,0.0,8.0,59.0,1.0,1.0,1.0,9.0,3.0,4.0,2.0,97.0,48.5,2.0,1.0,-1.0,75.0,0.0,100.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,39.0,26.0,1.0,9.0,4.0,1.0,1.0,46.0,14.0,0.0,0.0,3.0,1.0,1.0,Sunday,993003253,30,22,18264.0,-7.0,0,1.0,0.75,0.0,26.0,33.0,-7.0,397.0,426.3333333333333,-0.333,0.522,,95.0,115.0,2.0
202210630.0,2022-10-16T16:05:00,1.0,2022,6,SEA,ARI,HOME,19.0,9.0,28.0,Lumen Field,3.0,6.0,3.0,7.0,0.0,22.0,25.0,29:16,15.0,4.0,9.0,2.0,49.0,396.0,8.1,4.0,21.0,151.0,7.2,1.0,25.0,16.0,245.0,3.0,0.0,9.8,15.3,64.0,135.83,9.0,1.0,11.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,85.0,2.0,1.0,3.0,23.0,5.0,1.0,5.0,233.0,46.6,1.0,2.0,1.0,3.0,0.0,6.0,0.0,0.0,37.0,35.0,30:44,26.0,14.0,9.0,3.0,74.0,438.0,5.9,5.0,48.0,235.0,4.9,3.0,25.0,17.0,203.0,2.0,1.0,8.1,11.9,68.0,102.58,14.0,8.0,57.1,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,57.0,3.0,1.0,1.0,6.0,4.0,4.0,4.0,189.0,47.2,2.0,1.0,-1.0,0.0,0.0,100.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,44.0,32.0,1.0,6.0,4.0,2.0,1.0,33.0,18.0,3.0,23.0,2.0,2.0,1.0,Sunday,993003290,30,1,18169.0,10.0,1,1.0,0.111,0.0,34.3,37.0,-2.7,457.0,448.0,1.0,0.464,0.4,127.0,154.0,2.0
202210729.0,2022-10-23T16:25:00,1.0,2022,7,SEA,LAC,AWAY,37.0,23.0,60.0,SoFi Stadium,17.0,7.0,3.0,10.0,0.0,29.0,16.0,33:57,19.0,7.0,10.0,2.0,66.0,296.0,4.5,1.0,30.0,136.0,4.5,1.0,31.0,20.0,160.0,0.0,0.0,5.2,8.0,64.5,77.35,14.0,4.0,28.6,1.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,44.0,2.0,1.0,5.0,37.0,7.0,10.0,6.0,293.0,48.8,1.0,2.0,1.0,0.0,14.0,0.0,9.0,0.0,30.0,44.0,26:03,15.0,5.0,10.0,0.0,71.0,315.0,4.4,1.0,28.0,144.0,5.1,0.0,37.0,23.0,171.0,0.0,1.0,4.6,7.4,62.2,61.88,16.0,4.0,25.0,5.0,1.0,20.0,2.0,0.0,0.0,0.0,6.0,53.0,3.0,1.0,6.0,51.0,7.0,9.0,4.0,162.0,40.5,2.0,1.0,-1.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,22.0,6.0,51.0,4.0,3.0,1.0,45.0,25.0,5.0,37.0,6.0,1.0,1.0,Sunday,993003319,30,29,18189.0,14.0,1,1.0,0.286,0.0,33.0,31.0,2.0,415.6666666666667,424.3333333333333,1.0,0.382,0.4,146.0,163.0,3.0
202210830.0,2022-10-30T16:25:00,1.0,2022,8,SEA,NYG,HOME,27.0,13.0,40.0,Lumen Field,0.0,10.0,3.0,14.0,0.0,33.0,57.0,26:26,24.0,10.0,10.0,4.0,63.0,404.0,6.4,4.0,34.0,213.0,6.3,2.0,27.0,20.0,191.0,2.0,1.0,7.1,9.6,74.1,102.55,9.0,5.0,55.6,0.0,0.0,0.0,4.0,2.0,0.0,0.0,7.0,68.0,1.0,1.0,2.0,19.0,8.0,4.0,1.0,46.0,46.0,2.0,2.0,0.0,0.0,7.0,3.0,3.0,0.0,26.0,3.0,33:34,21.0,3.0,17.0,1.0,69.0,329.0,4.8,3.0,15.0,53.0,3.5,1.0,51.0,33.0,276.0,2.0,1.0,5.4,8.4,64.7,83.46,15.0,5.0,33.3,3.0,1.0,33.3,3.0,3.0,0.0,0.0,7.0,70.0,2.0,1.0,3.0,17.0,4.0,6.0,5.0,228.0,45.6,2.0,2.0,0.0,50.0,0.0,100.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,10.0,3.0,17.0,9.0,2.0,1.0,49.0,13.0,2.0,19.0,5.0,0.0,1.0,Sunday,993003348,30,23,18045.0,14.0,1,0.0,0.556,0.0,29.3,23.7,5.7,365.3333333333333,360.6666666666667,0.667,0.317,0.6,183.0,186.0,4.0
202210901.0,2022-11-06T16:05:00,1.0,2022,9,SEA,ARI,AWAY,31.0,21.0,52.0,State Farm Stadium,3.0,7.0,7.0,14.0,0.0,26.0,26.0,34:31,19.0,4.0,14.0,1.0,62.0,277.0,4.5,3.0,25.0,87.0,3.5,1.0,34.0,23.0,190.0,2.0,0.0,5.6,8.3,67.6,101.35,13.0,3.0,23.1,2.0,2.0,100.0,3.0,2.0,0.0,0.0,3.0,25.0,1.0,1.0,3.0,22.0,8.0,8.0,6.0,291.0,48.5,1.0,2.0,1.0,7.0,0.0,7.0,7.0,0.0,33.0,34.0,25:29,14.0,4.0,9.0,1.0,64.0,225.0,3.5,1.0,28.0,78.0,2.8,1.0,31.0,17.0,147.0,0.0,0.0,4.7,8.6,54.8,67.54,16.0,6.0,37.5,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,53.0,3.0,2.0,5.0,29.0,10.0,5.0,6.0,322.0,53.7,2.0,1.0,-1.0,66.7,0.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,49.0,15.0,5.0,29.0,6.0,3.0,2.0,42.0,17.0,3.0,22.0,3.0,1.0,1.0,Sunday,993003373,30,1,18130.0,10.0,1,1.0,0.231,0.0,27.7,15.0,12.7,325.6666666666667,289.6666666666667,0.667,0.357,0.8,210.0,199.0,5.0
202211033.0,2022-11-13T09:30:00,1.0,2022,10,SEA,TB,AWAY,16.0,21.0,37.0,Allianz Arena,0.0,0.0,3.0,13.0,0.0,34.0,31.0,23:05,27.0,10.0,14.0,3.0,70.0,421.0,6.0,4.0,34.0,158.0,4.6,2.0,34.0,26.0,263.0,2.0,1.0,7.7,10.1,76.5,105.39,15.0,10.0,66.7,1.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,34.0,1.0,0.0,2.0,12.0,5.0,8.0,3.0,162.0,54.0,1.0,1.0,0.0,0.0,14.0,0.0,7.0,0.0,25.0,29.0,36:55,15.0,5.0,8.0,2.0,61.0,262.0,4.3,3.0,21.0,122.0,5.8,0.0,35.0,25.0,140.0,2.0,0.0,4.0,5.6,71.4,97.32,14.0,6.0,42.9,2.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,77.0,3.0,1.0,5.0,35.0,8.0,5.0,6.0,288.0,48.0,1.0,1.0,0.0,100.0,0.0,100.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,10.0,5.0,35.0,4.0,1.0,1.0,48.0,25.0,2.0,12.0,4.0,0.0,0.0,Sunday,993003383,30,33,18142.0,-5.0,0,0.0,0.667,0.0,31.7,19.0,12.7,367.3333333333333,272.0,0.333,0.484,0.8,241.0,220.0,6.0
